,,,,
,,,,
,,,,
,Код материала,Наименование товара,Ед. изм,Фирма
,00-00001134,Болт Гайка м19 (спец тех),кг,
,00-00001135,Бур для деревя 20х350,шт,
,00-00001136,Люк 80х40см алюминиевый,шт,
,00-00001137,Болт Гайка м17 (спец тех),кг,
,00-00001138,Болт Гайка шайба м24 (спец тех),кг,
,00-00001139,Болт Гайка шайба м27 (спец тех),кг,
,00-00001140,Болт Гайка шайба м30 (спец тех),кг,
,00-00001141,Ремент 1950Б,шт,
,00-00001142,Ремент 2000Б,шт,
,00-00001143,Радиоком RC-18 (Ратсия),комп,
,00-00001144,Тройник из ппр 40х20,шт,
,00-00001145,Переходник из ппр 40х32мм,шт,
,00-00001146,Тройник из ппр 32х20,шт,
,00-00001147,Дюбел Торилочный (Зонтик) 8х135,шт,
,00-00001148,E518KP D628-2 FUEL FILTER (топливной филтир) спец тех,шт,
,00-00001149,E824 H OIL FILTER (Масло филтир) спец тех,шт,
,00-00001150,Масло CASTROL 80/90 спец тех,шт,
,00-00001151,Масло CASTROL 10/40 спец тех,шт,
,00-00001152,Бур для бетон 8х210,шт,
,00-00001153,Бур для бетон 6х210,шт,
,00-00001154,"Катанка 5,5 А (арматура)",кг,
,00-00001155,Полурутановый краска,комп,
,00-00001156,Гидроизоляция Gidrofleks ТПП 3мм (Полизол),рулон,
,00-00001157,Редуктор лента (Фински) (спец тех у-н) Б/У матор,шт,
,00-00001158,"Бран 3,36",шт,
,00-00001159,Ролик 85см,шт,
,00-00001160,Ролик 75см,шт,
,00-00001161,Ролик 30см,шт,
,00-00001162,Ролик 25см,шт,
,00-00001163,Пиломатериал 70х210х2м,шт,
,00-00001164,Пиломатериал 70х210х4м,шт,
,00-00001165,Пиломатериал 70х210х6м,шт,
,00-00001166,"Ром Акфа 1,5х2",шт,
,00-00001167,"Эшик Акфа 2х0,9",шт,
,00-00001168,Фортичка Акфа,шт,
,00-00001169,Стабилизатор 10kw,шт,
,00-00001170,Профиль 30х30 3м,м,
,00-00001171,Краска для принтера Epson 108,шт,
,00-00001173,Конденсатор 45/40,шт,
,00-00001174,Конденсатор 50/45,шт,
,00-00001175,Машина для шлифованыя бетона ручной. Betonfrase ZX-18,шт,
,00-00001176,Коронка по металу 25,шт,
,00-00001177,Коронка по металу 40,шт,
,00-00001178,Электрод для нержавейка,пачка,
,00-00001179,Керамогранит 12F 705 120х60,м2,
,00-00001180,Керамогранит 12F 704 120х60,м2,
,00-00001181,Кафель тош 120х60,м2,
,00-00001182,"Вязальный провод 2,5мм",кг,
,00-00001183,Труба ПНД / 6м / 200 д ( кора ),шт,
,00-00001184,Гулхар м10-12,кг,
,00-00001185,Полотвод из ппр 25мм,шт,
,00-00001186,Крестовина ПВХ 50х50х50  45г,шт,
,00-00001187,Гидропаробарер,м,
,00-00001188,Шаровой кран т/п 15мм,шт,
,00-00001189,Коронка алмазный для кафеля 100,шт,
,00-00001190,Коронка алмазный для кафеля 70,шт,
,00-00001191,Коронка алмазный для кафеля 50,шт,
,00-00001192,Коронка алмазный для кафеля 40,шт,
,00-00001193,Коронка алмазный для кафеля 45,шт,
,00-00001194,Коронка алмазный для кафеля 25,шт,
,00-00001195,Коронка алмазный для кафеля 20,шт,
,00-00001196,Коронка алмазный для кафеля 12,шт,
,00-00001197,"Крестик хомут Зажим СВП Зажим для кафеля (200) 1,2мм",пачка,
,00-00001198,Бур для бетон 16х210,шт,
,00-00001199,Эко плекс 3мм,шт,
,00-00001200,Дюбель 8х80,шт,
,00-00001201,Батарейка АА,шт,
,00-00001203,Дюбель гвозд 8х60   DUBIL GVOZ MEXTIL,кг,
,00-00001204,Шланг д15,рулон,
,00-00001205,Головка ключ 17мм,шт,
,00-00001206,Тяга наканечник (спец тех),шт,
,00-00001207,Коронка алмазный для кафеля 120,шт,
,00-00001211,Ремен Кондиционер А46  (спец тех у-н),шт,
,00-00001212,Генератор ремен XKDE-02204  (спец тех у-н),шт,
,00-00001213,Натежитель ролик (спец тех у-н),шт,
,00-00001214,Трансполет (Рохля),шт,
,00-00001215,Редуктор (муровейник),шт,
,00-00001216,Заглушка латунная в/р 15мм,шт,
,00-00001217,Крестовина ПВХ 50х110х50  45г левый правый,шт,
,00-00001218,Крестовина ПВХ 50х110  45г левый,шт,
,00-00001219,Отвод ПВХ 110мм выход 50 левый,шт,
,00-00001220,"Бризент 2,25х3м",шт,
,00-00001221,Стабилизатор 30kW,шт,
,00-00001222,Щит 40х40,шт,
,00-00001223,Реле 63А 380V,шт,
,00-00001224,Кабель ПВС 3х4м2,м,
,00-00001225,Вольтметр,шт,
,00-00001226,Модульный пускатель 63А,шт,
,00-00001227,Труба ПНД 20мм,м,
,00-00001228,"Сетка 07мм Fz 2х1,75 (сетка дробилька)",шт,
,00-00001229,Чалька 10т 4м,шт,
,00-00001230,Чалька 5т 5м,шт,
,00-00001231,Тарозый 200кг,шт,
,00-00001232,"Зажим хомут 3,6х100",пачка,
,00-00001233,"Зажим хомут 3,6х150",пачка,
,00-00001234,"Зажим хомут 3,6х300",пачка,
,00-00001235,Газовый ключ 25мм,шт,
,00-00001236,Резиновый перчатка,шт,
,00-00001239,Зажим для декора,пачка,
,00-00001240,Клин для декора,пачка,
,00-00001241,Стремянка,шт,
,00-00001242,Батарейка танга,шт,
,00-00001243,Арматура 28мм А400,кг,
,00-00001244,Арматура 22мм А400,кг,
,00-00001245,Мешалька промишленная,шт,
,00-00001246,Отвертка набор,шт,
,00-00001247,Пенса,шт,
,00-00001248,Дюбель гвозд 8х80,кг,
,00-00001249,Инжектор Yuap-12576,шт,
,00-00001250,Зарядчик (для арматурный вес),шт,
,00-00001251,Смазочный апарат (Спец тех),шт,
,00-00001253,"Уголок 50х50х4,0",кг,
,00-00001254,Полоса 50х40,кг,
,00-00001255,Опрессовочный насос CANDAN,шт,
,00-00001256,Грунтовка (местный),кг,
,00-00001257,Битумная праймер,кг,
,00-00001258,Матор (муровейник),шт,
,00-00001259,Зарядной штекир (муровейник),шт,
,00-00001260,Трап боковой 60,шт,
,00-00001261,Трап боковой 50,шт,
,00-00001262,Ремен В1400 (бру спец тех),шт,
,00-00001263,Ремен В1250 (бру спец тех),шт,
,00-00001264,Фитинг 10/10 (бру спец тех),шт,
,00-00001265,Фитинг 12/12 (бру спец тех),шт,
,00-00001266,Фитинг 12/10 (бру спец тех),шт,
,00-00001267,Тройник 10/10 (бру спец тех),шт,
,00-00001268,"Профиль 50х30х2,5",м,
,00-00001270,Тестир,шт,
,00-00001271,Ключ Крокодил,шт,
,00-00001272,Арматурагиб Gute GW40A-4,шт,
,00-00001273,Арматурарез BECKER ga45,шт,
,00-00001274,Вижимной 430 (спец тех у-н),шт,
,00-00001275,Энергог (спец тех у-н),шт,
,00-00001276,Сальник 190х220х30 (спец тех у-н),шт,
,00-00001277,Ускоритель 4 (спец тех у-н),шт,
,00-00001278,Корзина 430Ус (спец тех у-н),шт,
,00-00001279,Сальник 195х140х НБ (спец тех у-н),шт,
,00-00001282,Кабель КГ 4х35мм2,м,
,00-00001283,Гильза 35,шт,
,00-00001284,Седло 90х20 с латунный вставкой,шт,
,00-00001285,Переходник металический 50х32,шт,
,00-00001286,Седло 90х50 с латунный вставкой,шт,
,00-00001287,Удда инструмент пластик (пистолет),шт,
,00-00001288,Удда инструмент золдир 5х1,шт,
,00-00001289,Удда Жидкий фуга NY22,шт,
,00-00001290,Удда Жидкий фуга N007,шт,
,00-00001291,Удда Жидкий фуга M12 Matt,шт,
,00-00001292,Удда Жидкий фуга M03 Matt,шт,
,00-00001293,Удда Жидкий фуга M04 Matt,шт,
,00-00001294,Трап 600 Romero,шт,
,00-00001295,Топленный обратный клапан CR/DR/VSK/305  3912 (спец тех у-н),шт,
,00-00001296,Смазка насадка (спец тех у-н),шт,
,00-00001297,"Гнутый профиль 24х2х34,6см",шт,
,00-00001298,Поль 30х30 белый,м2,
,00-00001299,Поль 30х30 черный,м2,
,00-00001300,ППИ-Ж 20,м,
,00-00001301,Смеситель омования,шт,
,00-00001302,Чашаген (Хитой),шт,
,00-00001303,Сетка 2000х2000-5х5 (сетка дробилька),шт,
,00-00001304,"Профиль 80х40 (3,2)",м,
,00-00001305,Профиль 40х40 (2),м,
,00-00001306,"Эко плекс 3,6мм Шафер",шт,
,00-00001307,Профиль У-образный,м,
,00-00001308,"Минвата Кнауф Knauf (16,6м2)",шт,
,00-00001309,"Шайба М26 тольшина 0,57х7",шт,
,00-00001310,Шлифовальная черепашки 50,шт,
,00-00001311,Линейка 30см,шт,
,00-00001312,Болгарка ключ,шт,
,00-00001313,Бур для перфоратора 1000х32,шт,
,00-00001314,Муфта соединительная СТТ(ТП)-10С гилзой 3х150/240 с/г гайка,комп,
,00-00001315,Паркет,м2,
,00-00001316,Плинтус,пм,
,00-00001317,Плинтус угловой наружный,шт,
,00-00001318,Плинтус угловой внутреныый,шт,
,00-00001319,Плинтус угловой С,шт,
,00-00001320,Плинтус угловой н,шт,
,00-00001321,Кронштейн стойка (6м),шт,
,00-00001322,Опора нижная,шт,
,00-00001323,Опора верхная,шт,
,00-00001324,Опора угловая,шт,
,00-00001325,"Сетка зашитно уловительная размер 3,5м х 6м (Зус)",шт,
,00-00001326,Анкерный крючок М10,шт,
,00-00001327,Болт М16 + Гайка М16,шт,
,00-00001328,Карабин оцинкованный с резбой,шт,
,00-00001329,Шнур (фал),м,
,00-00001330,Помпа сальник крипления,шт,
,00-00001331,Автобетоннасоса,шт,
,00-00001332,Кафель 60х60 кора,м2,
,00-00001333,Свеча провода (спец тех у-н),шт,
,00-00001334,Свеча (спец тех у-н),шт,
,00-00001335,Краска для принтера 057 (6шт),шт,
,00-00001336,Смеситель гигиенический душ (лейка) (Хитой импорт),шт,
,00-00001337,Смеситель гигиенический (хитой импорт),шт,
,00-00001338,Смеситель для душа (без лейка) (хитой импорт),шт,
,00-00001339,Декор пласт 270х15см рейечный,шт,
,00-00001340,Дубюль СП 6/40мм (зонтик),шт,
,00-00001341,"Пиломатериал 28х12,5х6м",шт,
,00-00001342,ДСП 1750х3300х16мм,шт,
,00-00001343,Гус Хово (спец тех у-н),шт,
,00-00001344,Генератор газ (спец тех у-н),шт,
,00-00001345,Шайба ступица (спец тех у-н),шт,
,00-00001346,Шкаладка (спец тех у-н),шт,
,00-00001347,Швеллер 18,м,
,00-00001348,Швеллер 16,м,
,00-00001349,"Закладной деталь лист 20мм 1,5м х 0,36см",шт,
,00-00001350,Сабзи тахта,шт,
,00-00001351,Чумич,шт,
,00-00001352,Капкир,шт,
,00-00001355,Ведро,шт,
,00-00001356,Крышка 18л,шт,
,00-00001357,Ручка 18л,шт,
,00-00001358,Кондиционер 18 Hoffman,шт,
,00-00001359,Люк 20х20,шт,
,00-00001360,Люк 30х20,шт,
,00-00001361,Кабель КГ 5х25мм2,м,
,00-00001362,Наканечник 35мм,шт,
,00-00001363,Выключатель двойная наружная,шт,
,00-00001364,Розетка одинарный наружная,шт,
,00-00001365,Перфодрель PW112-30-01 Pollwon,шт,
,00-00001366,Нарвон 1х10,шт,
,00-00001367,Масло X-Motor 20W 50 20л,шт,
,00-00001368,Масло Monex oil 15/40  20л,шт,
